               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.039356,           0.0055384,                   0,             0.81682,             0.76162,             0.79144,             0.31337,            0.041522,           0.0046577,                   0,            0.006436,            0.006436,            0.006436
                  70,             0.04009,           0.0055452,                   0,             0.77992,             0.69091,             0.70579,              0.2754,            0.044093,            0.005007,                   0,            0.006238,            0.006238,            0.006238
                  71,            0.038918,           0.0053757,                   0,             0.83264,              0.7697,             0.77689,             0.30933,            0.042299,           0.0047316,                   0,             0.00604,             0.00604,             0.00604
                  72,            0.038369,           0.0054703,                   0,             0.82403,             0.78182,             0.80095,             0.32857,            0.041581,           0.0045942,                   0,            0.005842,            0.005842,            0.005842
                  73,            0.037752,           0.0053515,                   0,             0.87453,             0.73232,             0.79204,             0.32835,            0.041445,            0.004637,                   0,            0.005644,            0.005644,            0.005644
                  74,              0.0377,           0.0054082,                   0,             0.86018,             0.77676,             0.81151,             0.34117,            0.040262,           0.0045934,                   0,            0.005446,            0.005446,            0.005446
                  75,            0.037067,           0.0052407,                   0,              0.8328,             0.78484,             0.80629,             0.32931,             0.04132,           0.0045772,                   0,            0.005248,            0.005248,            0.005248
                  76,            0.036665,           0.0052848,                   0,                0.87,             0.78485,             0.82215,             0.34662,            0.040478,           0.0044748,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.035911,           0.0052185,                   0,             0.86022,             0.76162,             0.79809,             0.33156,            0.040608,           0.0046351,                   0,            0.004852,            0.004852,            0.004852
                  78,            0.035691,            0.005115,                   0,             0.84645,             0.79091,             0.81142,             0.33751,            0.040352,            0.004537,                   0,            0.004654,            0.004654,            0.004654
                  79,            0.036054,           0.0050311,                   0,             0.84322,                 0.8,             0.82359,             0.34294,             0.04064,           0.0045346,                   0,            0.004456,            0.004456,            0.004456
                  80,            0.035534,           0.0052226,                   0,             0.85098,             0.77475,             0.80752,             0.34143,            0.040711,             0.00453,                   0,            0.004258,            0.004258,            0.004258
                  81,            0.034475,            0.005064,                   0,             0.83814,             0.81616,             0.81786,             0.34102,            0.040381,            0.004559,                   0,             0.00406,             0.00406,             0.00406
                  82,            0.034302,           0.0049521,                   0,             0.85957,             0.79798,             0.82604,             0.34782,            0.040022,           0.0045171,                   0,            0.003862,            0.003862,            0.003862
                  83,            0.034245,           0.0049694,                   0,             0.83809,             0.79994,             0.81429,             0.34933,            0.039987,           0.0045343,                   0,            0.003664,            0.003664,            0.003664
                  84,            0.033989,           0.0049654,                   0,             0.86381,             0.78163,             0.81262,             0.33602,            0.039762,           0.0046172,                   0,            0.003466,            0.003466,            0.003466
                  85,            0.033866,           0.0049204,                   0,             0.85555,             0.82626,             0.82851,             0.34658,            0.039659,           0.0044308,                   0,            0.003268,            0.003268,            0.003268
                  86,            0.033396,           0.0048472,                   0,             0.84781,             0.79394,              0.8175,             0.34183,             0.04041,           0.0045356,                   0,             0.00307,             0.00307,             0.00307
                  87,            0.032999,           0.0050322,                   0,             0.85572,             0.80909,             0.81921,             0.35523,            0.039555,           0.0044749,                   0,            0.002872,            0.002872,            0.002872
                  88,            0.032206,           0.0048071,                   0,             0.86169,             0.81181,             0.83404,             0.36325,            0.039662,           0.0044265,                   0,            0.002674,            0.002674,            0.002674
                  89,            0.032644,           0.0047923,                   0,             0.84607,             0.83277,             0.83203,             0.35887,            0.039176,           0.0044425,                   0,            0.002476,            0.002476,            0.002476
                  90,            0.032613,           0.0048026,                   0,             0.85821,             0.80702,             0.83265,             0.35593,            0.039474,            0.004451,                   0,            0.002278,            0.002278,            0.002278
                  91,            0.032163,           0.0047074,                   0,             0.86665,             0.81404,             0.83118,             0.36022,            0.039037,           0.0044471,                   0,             0.00208,             0.00208,             0.00208
                  92,            0.032009,           0.0047552,                   0,             0.85571,              0.8027,             0.83419,             0.36303,            0.039436,           0.0044832,                   0,            0.001882,            0.001882,            0.001882
                  93,            0.030974,           0.0046857,                   0,             0.86913,             0.81919,             0.83906,             0.36135,            0.039093,           0.0044356,                   0,            0.001684,            0.001684,            0.001684
                  94,            0.030139,            0.004743,                   0,             0.87118,             0.81313,             0.84042,             0.36977,            0.038896,           0.0044224,                   0,            0.001486,            0.001486,            0.001486
                  95,            0.030778,           0.0045324,                   0,             0.87371,             0.82525,             0.84447,             0.36525,             0.03899,           0.0044711,                   0,            0.001288,            0.001288,            0.001288
                  96,            0.030222,           0.0043622,                   0,             0.86204,             0.83434,             0.84549,             0.37234,            0.038741,           0.0044407,                   0,             0.00109,             0.00109,             0.00109
                  97,             0.02998,           0.0044834,                   0,              0.8813,             0.82525,             0.85626,             0.37295,            0.038502,            0.004452,                   0,            0.000892,            0.000892,            0.000892
                  98,             0.02967,           0.0045066,                   0,             0.87412,             0.83535,             0.85508,             0.37125,            0.038232,           0.0044612,                   0,            0.000694,            0.000694,            0.000694
                  99,            0.029548,           0.0046758,                   0,             0.86672,             0.83535,             0.85425,             0.36998,            0.038301,           0.0044181,                   0,            0.000496,            0.000496,            0.000496
